vpt.from_seq	vpt.to_seq	vpt.event	vpt.block	vpt.trial	vpt.patt	vpt.reps	vpt.phor	vpt.stim	vpt.keep	vpt.thor	vpt.image	vpt.pdir	vpt.response	vpt.rt	vpt.set_id	vpt.type	vpt.placebo
655	656	trial	2	71	no	1	left	sw_p_10	no	right	sw_p_10_right	up	1	451	2	train	FALSE
658	659	trial	2	72	no	0	left	sa_p_58	yes	right	sa_p_58_right	up	1	538	2	train	FALSE
661	662	trial	2	73	no	2	left	sw_a_4	yes	right	sw_a_4_right	up	1	470	2	train	FALSE
664	665	trial	2	74	no	1	left	sw_a_4	no	right	sw_a_4_right	up	1	399	2	train	FALSE
667	668	trial	2	75	no	1	left	sa_a_31	yes	right	sa_a_31_right	up	1	368	2	train	FALSE
670	671	trial	2	76	no	1	right	sw_a_19	no	left	sw_a_19_left	up	1	575	2	train	FALSE
673	674	trial	2	77	no	1	left	sa_p_30	yes	right	sa_p_30_right	down	2	459	2	train	FALSE
677	678	trial	2	78	no	1	left	sa_p_11	no	right	sa_p_11_right	down	1	640	2	train	FALSE
680	681	trial	2	79	no	1	left	sw_a_23	yes	right	sw_a_23_right	up	1	743	2	train	FALSE
683	684	trial	2	80	no	2	right	sa_a_31	yes	left	sa_a_31_left	down	1	477	2	train	FALSE
686	687	trial	2	81	no	1	right	sw_a_54	no	left	sw_a_54_left	up	1	413	2	train	FALSE
689	690	trial	2	82	no	2	right	sw_a_4	no	left	sw_a_4_left	up	1	513	2	train	FALSE
692	693	trial	2	83	no	3	left	dr_p_9	yes	right	dr_p_9_right	up	1	691	2	train	FALSE
695	696	trial	2	84	no	1	left	sa_p_11	yes	right	sa_p_11_right	up	2	1098	2	train	FALSE
699	700	trial	2	85	no	2	left	sa_p_11	no	right	sa_p_11_right	up	1	511	2	train	FALSE
702	703	trial	2	86	no	3	right	sa_p_11	yes	left	sa_p_11_left	down	2	320	2	train	FALSE
706	707	trial	2	87	no	3	left	sw_a_19	no	right	sw_a_19_right	up	2	714	2	train	FALSE
710	711	trial	2	88	no	1	left	dr_p_9	no	right	dr_p_9_right	down	1	454	2	train	FALSE
713	714	trial	2	89	no	0	left	sa_p_30	no	right	sa_p_30_right	up	1	538	2	train	FALSE
716	717	trial	2	90	no	0	right	sa_a_31	no	left	sa_a_31_left	down	1	540	2	train	FALSE
719	720	trial	2	91	no	2	left	sa_p_58	yes	right	sa_p_58_right	down	1	667	2	train	FALSE
722	723	trial	2	92	no	3	left	sa_p_30	no	right	sa_p_30_right	up	1	510	2	train	FALSE
725	726	trial	2	93	no	2	left	sa_p_30	yes	right	sa_p_30_right	down	1	543	2	train	FALSE
728	729	trial	2	94	no	3	right	sw_a_43	yes	left	sw_a_43_left	down	1	670	2	train	FALSE
731	732	trial	2	95	no	1	right	sa_p_30	no	left	sa_p_30_left	up	1	506	2	train	FALSE
738	739	trial	3	0	no	1	right	sw_p_10	yes	left	sw_p_10_left	down	1	477	2	train	FALSE
741	742	trial	3	1	no	3	left	sw_p_10	no	right	sw_p_10_right	down	1	676	2	train	FALSE
744	745	trial	3	2	no	3	left	sa_p_58	yes	right	sa_p_58_right	down	1	584	2	train	FALSE
747	748	trial	3	3	no	2	right	sw_p_10	yes	left	sw_p_10_left	down	1	502	2	train	FALSE
750	751	trial	3	4	no	1	right	sw_a_23	yes	left	sw_a_23_left	down	2	378	2	train	FALSE
754	755	trial	3	5	no	1	right	sa_a_31	no	left	sa_a_31_left	up	1	552	2	train	FALSE
757	758	trial	3	6	no	0	left	sw_a_43	yes	right	sw_a_43_right	up	2	470	2	train	FALSE
761	762	trial	3	7	no	2	right	dr_p_9	no	left	dr_p_9_left	up	1	400	2	train	FALSE
764	765	trial	3	8	no	1	left	dr_p_1	yes	right	dr_p_1_right	up	1	453	2	train	FALSE
767	768	trial	3	9	no	0	left	sw_a_43	no	right	sw_a_43_right	down	1	526	2	train	FALSE
770	771	trial	3	10	no	1	right	sa_p_30	yes	left	sa_p_30_left	up	1	410	2	train	FALSE
773	774	trial	3	11	no	3	right	dr_p_1	no	left	dr_p_1_left	up	1	452	2	train	FALSE
776	777	trial	3	12	no	3	left	sa_a_31	no	right	sa_a_31_right	up	1	587	2	train	FALSE
779	780	trial	3	13	no	0	left	dr_p_1	yes	right	dr_p_1_right	down	1	447	2	train	FALSE
782	783	trial	3	14	no	2	right	dr_p_1	yes	left	dr_p_1_left	down	1	487	2	train	FALSE
785	786	trial	3	15	no	3	right	sw_a_23	yes	left	sw_a_23_left	down	1	464	2	train	FALSE
