from_seq	to_seq	event	block	trial	patt	reps	phor	stim	keep	thor	image	pdir	response	rt	set_id	type	placebo
360	361	trial	2	39	yes	0	left	a42	no	left	a42_left	up	1	782	167	assess	TRUE
363	364	trial	2	40	no	1	right	a29	no	left	a29_left	down	1	762	167	assess	TRUE
366	367	trial	2	41	no	0	right	a42	no	left	a42_left	down	1	545	167	assess	TRUE
369	370	trial	2	42	yes	0	left	p61	no	left	p61_left	down	1	669	167	assess	TRUE
372	373	trial	2	43	yes	0	right	p24	no	right	p24_right	down	1	615	167	assess	TRUE
375	376	trial	2	44	no	1	left	p9	yes	right	p9_right	down	1	562	167	assess	TRUE
378	379	trial	2	45	no	0	right	p72	no	left	p72_left	up	1	592	167	assess	TRUE
381	382	trial	2	46	no	0	right	p61	yes	left	p61_left	up	1	430	167	assess	TRUE
384	385	trial	2	47	yes	0	left	a29	no	left	a29_left	down	1	411	167	assess	TRUE
387	388	trial	2	48	no	0	left	a41	yes	right	a41_right	down	1	393	167	assess	TRUE
390	391	trial	2	49	no	0	right	p72	yes	left	p72_left	up	1	374	167	assess	TRUE
393	394	trial	2	50	no	1	left	p9	no	right	p9_right	down	1	502	167	assess	TRUE
396	397	trial	2	51	yes	1	left	a29	no	left	a29_left	up	1	532	167	assess	TRUE
399	400	trial	2	52	yes	1	right	a42	no	right	a42_right	down	1	490	167	assess	TRUE
402	403	trial	2	53	yes	1	left	a20	no	left	a20_left	up	1	577	167	assess	TRUE
405	406	trial	2	54	no	0	left	a20	no	right	a20_right	down	1	472	167	assess	TRUE
408	409	trial	2	55	yes	1	right	p72	yes	right	p72_right	up	1	345	167	assess	TRUE
411	412	trial	2	56	no	0	right	p24	no	left	p24_left	down	2	457	167	assess	TRUE
415	416	trial	2	57	yes	1	left	a42	no	left	a42_left	up	1	762	167	assess	TRUE
418	419	trial	2	58	yes	1	left	p61	no	left	p61_left	down	1	516	167	assess	TRUE
421	422	trial	2	59	no	0	left	p72	no	right	p72_right	up	1	675	167	assess	TRUE
424	425	trial	2	60	no	0	right	p9	no	left	p9_left	up	1	604	167	assess	TRUE
427	428	trial	2	61	no	1	right	a29	yes	left	a29_left	down	1	456	167	assess	TRUE
430	431	trial	2	62	yes	0	left	p61	yes	left	p61_left	down	1	426	167	assess	TRUE
433	434	trial	2	63	yes	1	right	a29	yes	right	a29_right	up	1	405	167	assess	TRUE
12	13	trial	0	0	yes	0	right	practice	no	right	practice_right	up	1	762	169	practice	TRUE
15	16	trial	0	1	yes	0	right	practice	yes	right	practice_right	down	1	667	169	practice	TRUE
18	19	trial	0	2	no	0	right	practice	yes	left	practice_left	down	1	497	169	practice	TRUE
21	22	trial	0	3	no	0	left	practice	yes	right	practice_right	down	1	545	169	practice	TRUE
24	25	trial	0	4	yes	0	left	practice	no	left	practice_left	down	1	504	169	practice	TRUE
27	28	trial	0	5	yes	0	left	practice	yes	left	practice_left	up	1	591	169	practice	TRUE
30	31	trial	0	6	no	0	left	practice	no	right	practice_right	up	1	669	169	practice	TRUE
33	34	trial	0	7	no	0	right	practice	no	left	practice_left	up	1	718	169	practice	TRUE
40	41	trial	1	0	no	0	left	p43	no	right	p43_right	up	1	607	169	assess	TRUE
43	44	trial	1	1	no	1	left	p36	yes	right	p36_right	up	1	430	169	assess	TRUE
46	47	trial	1	2	yes	1	left	a38	yes	left	a38_left	down	1	608	169	assess	TRUE
49	50	trial	1	3	yes	0	left	p43	no	left	p43_left	down	1	898	169	assess	TRUE
52	53	trial	1	4	no	0	right	p36	no	left	p36_left	up	1	645	169	assess	TRUE
55	56	trial	1	5	yes	1	right	p56	no	right	p56_right	up	1	633	169	assess	TRUE
58	59	trial	1	6	no	0	left	p47	yes	right	p47_right	down	1	526	169	assess	TRUE
61	62	trial	1	7	no	1	left	p43	no	right	p43_right	up	1	597	169	assess	TRUE
64	65	trial	1	8	no	0	left	p56	no	right	p56_right	up	1	604	169	assess	TRUE
67	68	trial	1	9	no	0	left	a36	no	right	a36_right	down	1	504	169	assess	TRUE
70	71	trial	1	10	no	1	right	p47	no	left	p47_left	up	1	572	169	assess	TRUE
73	74	trial	1	11	no	1	left	p56	yes	right	p56_right	down	1	513	169	assess	TRUE
76	77	trial	1	12	yes	0	left	a52	yes	left	a52_left	up	1	429	169	assess	TRUE
79	80	trial	1	13	no	0	left	a38	yes	right	a38_right	down	1	477	169	assess	TRUE
82	83	trial	1	14	no	0	right	p36	yes	left	p36_left	down	2	651	169	assess	TRUE
86	87	trial	1	15	no	1	right	a52	yes	left	a52_left	down	1	532	169	assess	TRUE
89	90	trial	1	16	yes	0	right	p43	no	right	p43_right	down	1	508	169	assess	TRUE
92	93	trial	1	17	no	0	left	p56	yes	right	p56_right	up	1	544	169	assess	TRUE
95	96	trial	1	18	no	1	right	a36	no	left	a36_left	down	1	514	169	assess	TRUE
98	99	trial	1	19	no	1	right	a36	yes	left	a36_left	down	1	538	169	assess	TRUE
101	102	trial	1	20	no	1	left	a38	yes	right	a38_right	up	1	735	169	assess	TRUE
104	105	trial	1	21	no	1	left	a52	no	right	a52_right	up	1	643	169	assess	TRUE
107	108	trial	1	22	no	0	right	a24	yes	left	a24_left	up	1	618	169	assess	TRUE
110	111	trial	1	23	yes	0	right	p36	yes	right	p36_right	down	1	461	169	assess	TRUE
113	114	trial	1	24	no	1	right	p56	no	left	p56_left	down	1	508	169	assess	TRUE
116	117	trial	1	25	yes	1	right	a36	no	right	a36_right	up	1	555	169	assess	TRUE
119	120	trial	1	26	no	1	right	p36	no	left	p36_left	up	1	454	169	assess	TRUE
122	123	trial	1	27	yes	0	left	p43	yes	left	p43_left	down	1	1100	169	assess	TRUE
125	126	trial	1	28	no	1	right	a24	no	left	a24_left	down	1	476	169	assess	TRUE
128	129	trial	1	29	yes	1	right	p47	yes	right	p47_right	down	1	536	169	assess	TRUE
131	132	trial	1	30	yes	0	right	a24	no	right	a24_right	down	1	539	169	assess	TRUE
134	135	trial	1	31	yes	0	left	p36	no	left	p36_left	up	1	925	169	assess	TRUE
137	138	trial	1	32	no	0	left	a52	no	right	a52_right	up	1	558	169	assess	TRUE
140	141	trial	1	33	no	0	left	p36	no	right	p36_right	up	1	617	169	assess	TRUE
143	144	trial	1	34	no	1	left	p56	no	right	p56_right	down	1	689	169	assess	TRUE
146	147	trial	1	35	yes	0	left	a24	yes	left	a24_left	down	1	447	169	assess	TRUE
149	150	trial	1	36	yes	1	right	p36	no	right	p36_right	down	1	497	169	assess	TRUE
152	153	trial	1	37	no	1	right	p47	yes	left	p47_left	down	1	578	169	assess	TRUE
155	156	trial	1	38	yes	0	right	a52	no	right	a52_right	down	1	564	169	assess	TRUE
158	159	trial	1	39	yes	1	right	p56	yes	right	p56_right	down	1	446	169	assess	TRUE
161	162	trial	1	40	yes	1	left	a38	no	left	a38_left	up	1	752	169	assess	TRUE
164	165	trial	1	41	no	0	left	p43	yes	right	p43_right	up	1	676	169	assess	TRUE
167	168	trial	1	42	no	1	right	p36	yes	left	p36_left	up	1	446	169	assess	TRUE
170	171	trial	1	43	yes	1	right	a36	yes	right	a36_right	up	1	552	169	assess	TRUE
173	174	trial	1	44	no	1	left	p36	no	right	p36_right	down	1	702	169	assess	TRUE
176	177	trial	1	45	no	0	right	a24	no	left	a24_left	up	1	484	169	assess	TRUE
179	180	trial	1	46	yes	0	right	a38	yes	right	a38_right	down	1	510	169	assess	TRUE
182	183	trial	1	47	no	0	right	p43	no	left	p43_left	up	1	694	169	assess	TRUE
185	186	trial	1	48	no	0	left	a36	yes	right	a36_right	down	1	396	169	assess	TRUE
188	189	trial	1	49	no	0	right	a38	yes	left	a38_left	down	1	499	169	assess	TRUE
191	192	trial	1	50	yes	1	left	a36	yes	left	a36_left	up	1	478	169	assess	TRUE
194	195	trial	1	51	yes	0	left	a36	no	left	a36_left	up	1	589	169	assess	TRUE
197	198	trial	1	52	yes	0	left	p56	yes	left	p56_left	down	1	476	169	assess	TRUE
200	201	trial	1	53	no	0	left	p36	yes	right	p36_right	down	1	562	169	assess	TRUE
203	204	trial	1	54	no	1	right	p43	no	left	p43_left	down	1	577	169	assess	TRUE
206	207	trial	1	55	no	1	right	p56	yes	left	p56_left	down	1	484	169	assess	TRUE
209	210	trial	1	56	no	1	right	a24	yes	left	a24_left	up	1	466	169	assess	TRUE
212	213	trial	1	57	yes	1	right	a24	no	right	a24_right	up	1	586	169	assess	TRUE
215	216	trial	1	58	yes	1	left	p36	no	left	p36_left	down	1	542	169	assess	TRUE
218	219	trial	1	59	yes	1	right	a38	no	right	a38_right	up	1	463	169	assess	TRUE
221	222	trial	1	60	no	1	left	a36	yes	right	a36_right	down	1	604	169	assess	TRUE
224	225	trial	1	61	yes	1	left	a52	no	left	a52_left	down	1	445	169	assess	TRUE
227	228	trial	1	62	no	1	right	p43	yes	left	p43_left	up	1	670	169	assess	TRUE
230	231	trial	1	63	no	0	right	p47	yes	left	p47_left	down	1	500	169	assess	TRUE
233	234	trial	1	64	yes	1	right	a52	no	right	a52_right	down	1	662	169	assess	TRUE
236	237	trial	1	65	yes	0	left	p56	no	left	p56_left	down	1	625	169	assess	TRUE
239	240	trial	1	66	yes	0	left	a36	yes	left	a36_left	down	1	529	169	assess	TRUE
242	243	trial	1	67	yes	1	left	p56	no	left	p56_left	down	1	620	169	assess	TRUE
245	246	trial	1	68	no	1	left	a24	yes	right	a24_right	up	1	855	169	assess	TRUE
248	249	trial	1	69	no	1	left	a24	no	right	a24_right	up	1	656	169	assess	TRUE
251	252	trial	1	70	yes	1	left	p47	no	left	p47_left	up	1	614	169	assess	TRUE
254	255	trial	1	71	no	0	right	a52	no	left	a52_left	down	1	734	169	assess	TRUE
257	258	trial	1	72	yes	0	right	a36	yes	right	a36_right	down	1	626	169	assess	TRUE
260	261	trial	1	73	yes	1	right	p43	no	right	p43_right	up	1	717	169	assess	TRUE
263	264	trial	1	74	yes	0	left	a38	no	left	a38_left	down	1	443	169	assess	TRUE
266	267	trial	1	75	no	0	right	p47	no	left	p47_left	up	1	490	169	assess	TRUE
269	270	trial	1	76	yes	1	left	p47	yes	left	p47_left	up	1	458	169	assess	TRUE
272	273	trial	1	77	no	1	right	a38	yes	left	a38_left	up	1	406	169	assess	TRUE
275	276	trial	1	78	no	0	right	p43	yes	left	p43_left	up	1	409	169	assess	TRUE
278	279	trial	1	79	no	1	left	p43	yes	right	p43_right	down	1	738	169	assess	TRUE
281	282	trial	1	80	yes	1	left	a52	yes	left	a52_left	up	1	394	169	assess	TRUE
284	285	trial	1	81	no	0	right	p56	no	left	p56_left	up	1	446	169	assess	TRUE
287	288	trial	1	82	no	1	left	a38	no	right	a38_right	down	1	490	169	assess	TRUE
290	291	trial	1	83	yes	0	right	p47	yes	right	p47_right	up	1	388	169	assess	TRUE
293	294	trial	1	84	no	1	right	a38	no	left	a38_left	up	1	482	169	assess	TRUE
296	297	trial	1	85	no	0	left	a24	yes	right	a24_right	up	2	578	169	assess	TRUE
300	301	trial	1	86	yes	1	left	p43	yes	left	p43_left	down	1	599	169	assess	TRUE
303	304	trial	1	87	yes	0	right	p56	no	right	p56_right	down	1	524	169	assess	TRUE
306	307	trial	1	88	no	0	right	a36	yes	left	a36_left	up	1	483	169	assess	TRUE
309	310	trial	1	89	yes	0	right	p47	no	right	p47_right	up	1	584	169	assess	TRUE
312	313	trial	1	90	yes	1	left	p56	yes	left	p56_left	down	1	662	169	assess	TRUE
315	316	trial	1	91	yes	0	right	a38	no	right	a38_right	up	1	472	169	assess	TRUE
318	319	trial	1	92	yes	1	left	a24	yes	left	a24_left	down	1	682	169	assess	TRUE
321	322	trial	1	93	yes	1	left	p43	no	left	p43_left	up	1	721	169	assess	TRUE
324	325	trial	1	94	no	1	left	p47	yes	right	p47_right	down	2	581	169	assess	TRUE
328	329	trial	1	95	no	0	left	a52	yes	right	a52_right	up	1	501	169	assess	TRUE
331	332	trial	1	96	no	0	right	a52	yes	left	a52_left	up	1	440	169	assess	TRUE
334	335	trial	1	97	yes	0	right	a36	no	right	a36_right	down	1	568	169	assess	TRUE
337	338	trial	1	98	yes	0	right	a52	yes	right	a52_right	up	1	492	169	assess	TRUE
340	341	trial	1	99	no	1	left	p47	no	right	p47_right	up	1	645	169	assess	TRUE
343	344	trial	1	100	yes	1	left	a24	no	left	a24_left	up	1	691	169	assess	TRUE
346	347	trial	1	101	no	1	right	a52	no	left	a52_left	up	1	727	169	assess	TRUE
349	350	trial	1	102	yes	0	right	p56	yes	right	p56_right	down	1	527	169	assess	TRUE
352	353	trial	1	103	no	0	right	p56	yes	left	p56_left	up	1	737	169	assess	TRUE
355	356	trial	1	104	yes	1	right	a52	yes	right	a52_right	down	1	460	169	assess	TRUE
358	359	trial	1	105	yes	1	right	p36	yes	right	p36_right	up	1	444	169	assess	TRUE
361	362	trial	1	106	yes	1	right	a24	yes	right	a24_right	up	1	418	169	assess	TRUE
364	365	trial	1	107	yes	1	right	p43	yes	right	p43_right	down	1	472	169	assess	TRUE
367	368	trial	1	108	yes	1	right	p47	no	right	p47_right	down	1	605	169	assess	TRUE
370	371	trial	1	109	yes	0	left	a52	no	left	a52_left	down	1	2155	169	assess	TRUE
373	374	trial	1	110	yes	0	left	a24	no	left	a24_left	up	1	1831	169	assess	TRUE
376	377	trial	1	111	yes	0	left	p36	yes	left	p36_left	up	2	447	169	assess	TRUE
380	381	trial	1	112	yes	0	left	a38	yes	left	a38_left	down	1	493	169	assess	TRUE
383	384	trial	1	113	no	0	right	a38	no	left	a38_left	down	1	753	169	assess	TRUE
386	387	trial	1	114	no	1	left	a52	yes	right	a52_right	down	1	613	169	assess	TRUE
389	390	trial	1	115	no	0	left	a38	no	right	a38_right	up	1	717	169	assess	TRUE
392	393	trial	1	116	yes	1	right	a38	yes	right	a38_right	down	1	600	169	assess	TRUE
395	396	trial	1	117	yes	0	right	p36	no	right	p36_right	down	1	519	169	assess	TRUE
398	399	trial	1	118	no	0	right	a36	no	left	a36_left	up	1	528	169	assess	TRUE
401	402	trial	1	119	no	0	left	a24	no	right	a24_right	down	1	709	169	assess	TRUE
404	405	trial	1	120	yes	1	left	a36	no	left	a36_left	down	1	552	169	assess	TRUE
407	408	trial	1	121	yes	1	left	p36	yes	left	p36_left	down	1	691	169	assess	TRUE
410	411	trial	1	122	yes	0	right	a24	yes	right	a24_right	up	1	456	169	assess	TRUE
413	414	trial	1	123	yes	0	right	p43	yes	right	p43_right	up	1	479	169	assess	TRUE
416	417	trial	1	124	no	1	left	a36	no	right	a36_right	up	1	457	169	assess	TRUE
419	420	trial	1	125	yes	0	left	p47	yes	left	p47_left	up	1	769	169	assess	TRUE
422	423	trial	1	126	no	0	left	p47	no	right	p47_right	up	1	586	169	assess	TRUE
425	426	trial	1	127	yes	0	left	p47	no	left	p47_left	down	2	567	169	assess	TRUE
433	434	trial	2	0	yes	1	left	a73	no	left	a73_left	up	1	857	169	train	TRUE
436	437	trial	2	1	yes	0	right	p59	no	right	p59_right	down	1	671	169	train	TRUE
439	440	trial	2	2	yes	0	left	p19	yes	left	p19_left	down	1	787	169	train	TRUE
442	443	trial	2	3	no	1	left	a37	no	right	a37_right	up	1	641	169	train	TRUE
445	446	trial	2	4	yes	0	left	a43	no	left	a43_left	down	1	709	169	train	TRUE
448	449	trial	2	5	yes	0	left	p53	yes	left	p53_left	down	1	484	169	train	TRUE
451	452	trial	2	6	no	1	left	p17	yes	right	p17_right	up	1	527	169	train	TRUE
454	455	trial	2	7	no	1	left	a43	yes	right	a43_right	down	1	624	169	train	TRUE
457	458	trial	2	8	yes	1	left	a19	yes	left	a19_left	up	1	466	169	train	TRUE
460	461	trial	2	9	no	0	left	a49	no	right	a49_right	down	1	600	169	train	TRUE
463	464	trial	2	10	yes	0	right	a73	yes	right	a73_right	down	1	656	169	train	TRUE
466	467	trial	2	11	yes	1	left	a64	no	left	a64_left	down	1	901	169	train	TRUE
