t1_left	a1_left	f1_left	block_type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_7	1	613.785	39	keydown	right_down	NA	NA	NA	1	59	0	FALSE	176142.455	176991.18	177621.605	177773.88	NA	86	177774.125	6593390	115257	6593428	154715.335
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_p_9_test	1	587.645	39	keydown	right_down	NA	NA	NA	1	60	0	FALSE	177775.02	178756.315	179459.395	179605.61	NA	87	179605.85	6593390	115257	6593428	156547.06
FALSE	TRUE	NA	tar1att2_2	tar_1	baisha_a_5_test	1	680.955	39	keydown	right_down	NA	NA	NA	1	61	0	FALSE	179606.33	180271.71	180969.81	181120.955	NA	88	181121.21	6593390	115257	6593429	158062.42
FALSE	TRUE	NA	tar1att2_2	tar_1	yunyan_a_6_test	1	578.515	39	keydown	right_down	NA	NA	NA	1	62	0	FALSE	181121.565	181921.9	182516.525	182686.32	NA	89	182686.565	6593390	115257	6593429	159627.775
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_1	1	517.245	37	keydown	left_down	NA	NA	NA	1	63	0	FALSE	182686.805	183368.99	183902.885	184068.42	NA	90	184068.66	6593390	115257	6593429	161009.87
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_9	1	514.455	37	keydown	left_down	NA	NA	NA	1	64	0	FALSE	184068.95	185050.905	185581.97	185733.65	NA	91	185733.885	6593390	115257	6593430	162675.095
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_3	1	652.195	39	keydown	right_down	NA	NA	NA	1	65	0	FALSE	185734.16	186666.095	187334.93	187498.775	NA	92	187499.01	6593390	115257	6593430	164440.22
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_6	1	558.055	37	keydown	left_down	NA	NA	NA	1	66	0	FALSE	187499.265	188248.07	188822.755	188980.97	NA	93	188981.2	6593390	115257	6593431	165922.41
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_4	1	472.005	37	keydown	left_down	NA	NA	NA	1	67	0	FALSE	188981.465	189863.38	190352.045	190512.825	NA	94	190513.06	6593390	115257	6593431	167454.27
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_a_7_test	1	911.495	39	keydown	right_down	NA	NA	NA	1	68	0	FALSE	190513.38	191345.375	192379.6	192544.39	NA	95	192544.63	6593390	115257	6593431	169485.84
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_9	1	642.725	39	keydown	right_down	NA	NA	NA	1	69	0	FALSE	192544.88	193077.22	193736.695	193893.21	NA	96	193893.445	6593390	115257	6593432	170834.655
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_9	1	514.35	37	keydown	left_down	NA	NA	NA	1	70	0	FALSE	193893.73	194509.35	195040.35	195192.04	NA	97	195192.285	6593390	115257	6593432	172133.495
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_1	1	507.81	37	keydown	left_down	NA	NA	NA	1	71	0	FALSE	195192.55	195941.42	196465.88	196624.185	NA	98	196624.42	6593390	115257	6593432	173565.63
TRUE	TRUE	NA	tar1att1_1	tar_1	liqun_p_6_test	1	1146.17	37	keydown	left_down	NA	NA	NA	0	0	0	FALSE	25709.45	26329.1	27579.46	27744.12	NA	0	27744.595	6594159	115257	6594164	0
TRUE	TRUE	NA	tar1att1_1	tar_1	liqun_a_4_test	1	594.8	37	keydown	left_down	NA	NA	NA	0	1	0	FALSE	27745.145	28643.285	29340.605	29509.245	NA	1	29509.535	6594159	115257	6594165	1764.94
TRUE	TRUE	NA	tar1att1_1	tar_1	liqun_p_7_test	1	679.97	37	keydown	left_down	NA	NA	NA	0	2	0	FALSE	29509.945	30508.31	31288.945	31440.96	NA	2	31441.18	6594159	115257	6594165	3696.585
TRUE	TRUE	NA	tar1att1_1	att_1	word_ttq_app_4	1	1198.225	37	keydown	left_down	NA	NA	NA	0	3	0	FALSE	31441.61	32440.035	33655.04	33822.11	NA	3	33822.325	6594159	115257	6594166	6077.73
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_1	1	907.86	39	keydown	right_down	NA	NA	NA	0	4	0	FALSE	33822.605	34654.695	35579.215	35737.125	NA	4	35737.325	6594159	115257	6594166	7992.73
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_5	2	923.62	37	keydown	left_down	NA	NA	NA	0	5	0	FALSE	35737.53	36719.68	37659.89	37868.595	NA	5	37868.8	6594159	115257	6594167	10124.205
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_8	1	762.9	39	keydown	right_down	NA	NA	NA	0	6	0	FALSE	37869.02	38767.775	39547.32	39700.355	NA	6	39700.575	6594159	115257	6594167	11955.98
TRUE	TRUE	NA	tar1att1_1	tar_1	liqun_a_10_test	1	622.715	37	keydown	left_down	NA	NA	NA	0	7	0	FALSE	39700.915	40299.8	41021.065	41182.345	NA	7	41182.565	6594159	115257	6594168	13437.97
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_6	2	1282	37	keydown	left_down	NA	NA	NA	0	8	0	FALSE	41182.825	41865.11	43163.77	43313.805	NA	8	43314.045	6594159	115257	6594168	15569.45
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_4	2	898.935	37	keydown	left_down	NA	NA	NA	0	9	0	FALSE	43314.25	44196.445	45112	45278.815	NA	9	45279.06	6594159	115257	6594169	17534.465
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_3	1	1014.975	39	keydown	right_down	NA	NA	NA	0	10	0	FALSE	45279.475	45944.95	46976.52	47127.165	NA	10	47127.36	6594159	115257	6594169	19382.765
TRUE	TRUE	NA	tar1att1_1	att_1	word_ttq_app_8	1	649.655	37	keydown	left_down	NA	NA	NA	0	11	0	FALSE	47127.58	48043.04	48709.355	48859.005	NA	11	48859.215	6594159	115257	6594169	21114.62
TRUE	TRUE	NA	tar1att1_1	att_1	word_ttq_app_3	1	778.995	37	keydown	left_down	NA	NA	NA	0	12	0	FALSE	48859.43	49674.965	50470.615	50640.805	NA	12	50641.025	6594159	115257	6594170	22896.43
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_10	2	863.09	37	keydown	left_down	NA	NA	NA	0	13	0	FALSE	50641.265	51306.845	52186.595	52339.435	NA	13	52339.625	6594159	115257	6594170	24595.03
TRUE	TRUE	NA	tar1att1_1	att_2	word_ttq_avo_2	1	1030.605	39	keydown	right_down	NA	NA	NA	0	14	0	FALSE	52339.83	52838.84	53886.12	54037.79	NA	14	54038.01	6594159	115257	6594171	26293.415
